luminaire_id,eff_ceil,wall,cavity_ratio,cu
1,80,50,0,0.87
1,80,50,1,0.71
1,80,50,2,0.61
1,80,50,3,0.52
1,80,50,4,0.46
1,80,50,5,0.4
1,80,50,6,0.36
1,80,50,7,0.32
1,80,50,8,0.29
1,80,50,9,0.26
1,80,50,10,0.23
1,80,30,0,0.87
1,80,30,1,0.67
1,80,30,2,0.54
1,80,30,3,0.45
1,80,30,4,0.38
1,80,30,5,0.33
1,80,30,6,0.28
1,80,30,7,0.25
1,80,30,8,0.22
1,80,30,9,0.19
1,80,30,10,0.17
1,80,10,0,0.87
1,80,10,1,0.63
1,80,10,2,0.49
1,80,10,3,0.39
1,80,10,4,0.33
1,80,10,5,0.27
1,80,10,6,0.23
1,80,10,7,0.2
1,80,10,8,0.17
1,80,10,9,0.15
1,80,10,10,0.13
1,70,50,0,0.81
1,70,50,1,0.66
1,70,50,2,0.56
1,70,50,3,0.48
1,70,50,4,0.42
1,70,50,5,0.37
1,70,50,6,0.33
1,70,50,7,0.29
1,70,50,8,0.27
1,70,50,9,0.24
1,70,50,10,0.22
1,70,30,0,0.81
1,70,30,1,0.62
1,70,30,2,0.5
1,70,30,3,0.42
1,70,30,4,0.36
1,70,30,5,0.3
1,70,30,6,0.26
1,70,30,7,0.23
1,70,30,8,0.2
1,70,30,9,0.18
1,70,30,10,0.16
1,70,10,0,0.81
1,70,10,1,0.59
1,70,10,2,0.45
1,70,10,3,0.37
1,70,10,4,0.3
1,70,10,5,0.25
1,70,10,6,0.21
1,70,10,7,0.18
1,70,10,8,0.16
1,70,10,9,0.14
1,70,10,10,0.12
1,50,50,0,0.69
1,50,50,1,0.56
1,50,50,2,0.47
1,50,50,3,0.41
1,50,50,4,0.36
1,50,50,5,0.32
1,50,50,6,0.28
1,50,50,7,0.25
1,50,50,8,0.23
1,50,50,9,0.2
1,50,50,10,0.19
1,50,30,0,0.69
1,50,30,1,0.53
1,50,30,2,0.43
1,50,30,3,0.36
1,50,30,4,0.3
1,50,30,5,0.26
1,50,30,6,0.23
1,50,30,7,0.2
1,50,30,8,0.17
1,50,30,9,0.15
1,50,30,10,0.14
1,50,10,0,999
1,50,10,1,999
1,50,10,2,999
1,50,10,3,999
1,50,10,4,999
1,50,10,5,999
1,50,10,6,999
1,50,10,7,999
1,50,10,8,999
1,50,10,9,999
1,50,10,10,999
1,30,50,0,0.59
1,30,50,1,0.47
1,30,50,2,0.39
1,30,50,3,0.34
1,30,50,4,0.3
1,30,50,5,0.26
1,30,50,6,0.23
1,30,50,7,0.21
1,30,50,8,0.19
1,30,50,9,0.17
1,30,50,10,0.16
1,30,30,0,0.59
1,30,30,1,0.45
1,30,30,2,0.36
1,30,30,3,0.3
1,30,30,4,0.26
1,30,30,5,0.22
1,30,30,6,0.19
1,30,30,7,0.16
1,30,30,8,0.15
1,30,30,9,0.13
1,30,30,10,0.12
1,30,10,0,999
1,30,10,1,999
1,30,10,2,999
1,30,10,3,999
1,30,10,4,999
1,30,10,5,999
1,30,10,6,999
1,30,10,7,999
1,30,10,8,999
1,30,10,9,999
1,30,10,10,999
1,10,50,0,0.49
1,10,50,1,0.39
1,10,50,2,0.32
1,10,50,3,0.27
1,10,50,4,0.24
1,10,50,5,0.21
1,10,50,6,0.19
1,10,50,7,0.17
1,10,50,8,0.15
1,10,50,9,0.14
1,10,50,10,0.13
1,10,30,0,0.49
1,10,30,1,0.37
1,10,30,2,0.29
1,10,30,3,0.24
1,10,30,4,0.21
1,10,30,5,0.18
1,10,30,6,0.15
1,10,30,7,0.13
1,10,30,8,0.12
1,10,30,9,0.11
1,10,30,10,0.09
1,10,10,0,999
1,10,10,1,999
1,10,10,2,999
1,10,10,3,999
1,10,10,4,999
1,10,10,5,999
1,10,10,6,999
1,10,10,7,999
1,10,10,8,999
1,10,10,9,999
1,10,10,10,999
1,0,0,0,0.44
1,0,0,1,0.31
1,0,0,2,0.23
1,0,0,3,0.18
1,0,0,4,0.15
1,0,0,5,0.12
1,0,0,6,0.1
1,0,0,7,0.09
1,0,0,8,0.07
1,0,0,9,0.06
1,0,0,10,0.05
3,80,50,0,0.99
3,80,50,1,0.88
3,80,50,2,0.78
3,80,50,3,0.69
3,80,50,4,0.61
3,80,50,5,0.54
3,80,50,6,0.48
3,80,50,7,0.43
3,80,50,8,0.38
3,80,50,9,0.35
3,80,50,10,0.31
3,80,30,0,0.99
3,80,30,1,0.85
3,80,30,2,0.73
