base,wall,cavity_ratio,eff_base_refl
90,90,0.2,89
90,90,0.4,88
90,90,0.6,87
90,90,0.8,87
90,90,1,86
90,90,1.2,85
90,90,1.4,85
90,90,1.6,84
90,90,1.8,83
90,90,2,83
90,90,2.2,82
90,90,2.4,82
90,90,2.6,81
90,90,2.8,81
90,90,3,80
90,90,3.2,79
90,90,3.4,79
90,90,3.6,78
90,90,3.8,78
90,90,4,77
90,90,4.2,77
90,90,4.4,76
90,90,4.6,76
90,90,4.8,75
90,90,5,75
90,90,6,73
90,90,7,70
90,90,8,68
90,90,9,66
90,90,10,65
90,80,0.2,88
90,80,0.4,87
90,80,0.6,86
90,80,0.8,85
90,80,1,83
90,80,1.2,82
90,80,1.4,80
90,80,1.6,79
90,80,1.8,78
90,80,2,77
90,80,2.2,76
90,80,2.4,75
90,80,2.6,74
90,80,2.8,73
90,80,3,72
90,80,3.2,71
90,80,3.4,70
90,80,3.6,69
90,80,3.8,69
90,80,4,69
90,80,4.2,62
90,80,4.4,61
90,80,4.6,60
90,80,4.8,59
90,80,5,59
90,80,6,61
90,80,7,58
90,80,8,55
90,80,9,52
90,80,10,51
90,70,0.2,88
90,70,0.4,86
90,70,0.6,84
90,70,0.8,82
90,70,1,80
90,70,1.2,78
90,70,1.4,77
90,70,1.6,75
90,70,1.8,73
90,70,2,72
90,70,2.2,70
90,70,2.4,69
90,70,2.6,67
90,70,2.8,66
90,70,3,64
90,70,3.2,63
90,70,3.4,62
90,70,3.6,61
90,70,3.8,60
90,70,4,58
90,70,4.2,57
90,70,4.4,56
90,70,4.6,55
90,70,4.8,54
90,70,5,53
90,70,6,49
90,70,7,45
90,70,8,42
90,70,9,38
90,70,10,36
90,60,0.2,87
90,60,0.4,85
90,60,0.6,82
90,60,0.8,80
90,60,1,77
90,60,1.2,75
90,60,1.4,73
90,60,1.6,71
90,60,1.8,69
90,60,2,67
90,60,2.2,65
90,60,2.4,64
90,60,2.6,62
90,60,2.8,60
90,60,3,58
90,60,3.2,56
90,60,3.4,54
90,60,3.6,53
90,60,3.8,51
90,60,4,51
90,60,4.2,50
90,60,4.4,49
90,60,4.6,47
90,60,4.8,46
90,60,5,45
90,60,6,41
90,60,7,38
90,60,8,35
90,60,9,31
90,60,10,29
90,50,0.2,86
90,50,0.4,84
90,50,0.6,80
90,50,0.8,77
90,50,1,75
90,50,1.2,72
90,50,1.4,69
90,50,1.6,67
90,50,1.8,64
90,50,2,62
90,50,2.2,59
90,50,2.4,58
90,50,2.6,56
90,50,2.8,54
90,50,3,52
90,50,3.2,50
90,50,3.4,48
90,50,3.6,47
90,50,3.8,45
90,50,4,44
90,50,4.2,43
90,50,4.4,42
90,50,4.6,40
90,50,4.8,39
90,50,5,38
90,50,6,34
90,50,7,30
90,50,8,27
90,50,9,25
90,50,10,22
90,40,0.2,85
90,40,0.4,83
90,40,0.6,79
90,40,0.8,75
90,40,1,72
90,40,1.2,69
90,40,1.4,65
90,40,1.6,63
90,40,1.8,60
90,40,2,56
90,40,2.2,54
90,40,2.4,53
90,40,2.6,51
90,40,2.8,49
90,40,3,47
90,40,3.2,45
90,40,3.4,43
90,40,3.6,42
90,40,3.8,40
90,40,4,39
90,40,4.2,37
90,40,4.4,36
90,40,4.6,35
90,40,4.8,34
90,40,5,33
90,40,6,29
90,40,7,27
90,40,8,23
90,40,9,21
90,40,10,19
90,30,0.2,85
90,30,0.4,81
90,30,0.6,77
90,30,0.8,73
90,30,1,69
90,30,1.2,66
90,30,1.4,62
90,30,1.6,59
90,30,1.8,56
90,30,2,53
90,30,2.2,50
90,30,2.4,48
90,30,2.6,46
90,30,2.8,44
90,30,3,42
90,30,3.2,40
90,30,3.4,38
90,30,3.6,36
90,30,3.8,35
90,30,4,33
90,30,4.2,32
90,30,4.4,31
90,30,4.6,30
90,30,4.8,28
90,30,5,28
90,30,6,24
90,30,7,21
90,30,8,18
90,30,9,16
90,30,10,15
90,20,0.2,84
90,20,0.4,80
90,20,0.6,76
90,20,0.8,71
90,20,1,66
90,20,1.2,63
90,20,1.4,59
90,20,1.6,56
90,20,1.8,53
90,20,2,50
90,20,2.2,47
90,20,2.4,45
90,20,2.6,42
90,20,2.8,40
90,20,3,38
90,20,3.2,36
90,20,3.4,34
90,20,3.6,32
90,20,3.8,31
90,20,4,29
90,20,4.2,28
90,20,4.4,27
90,20,4.6,26
90,20,4.8,25
90,20,5,24
90,20,6,20
90,20,7,18
90,20,8,15
90,20,9,14
90,20,10,11
90,10,0.2,84
90,10,0.4,79
90,10,0.6,74
90,10,0.8,69
90,10,1,64
90,10,1.2,60
90,10,1.4,57
90,10,1.6,53
90,10,1.8,50
90,10,2,47
90,10,2.2,44
90,10,2.4,41
90,10,2.6,38
90,10,2.8,36
90,10,3,34
90,10,3.2,32
90,10,3.4,30
90,10,3.6,28
90,10,3.8,27
90,10,4,25
90,10,4.2,24
90,10,4.4,23
90,10,4.6,22
90,10,4.8,21
90,10,5,20
90,10,6,16
90,10,7,14
90,10,8,12
90,10,9,11
90,10,10,9
90,0,0.2,82
90,0,0.4,76
90,0,0.6,73
90,0,0.8,67
90,0,1,62
90,0,1.2,57
90,0,1.4,52
90,0,1.6,50
90,0,1.8,48
90,0,2,43
90,0,2.2,40
90,0,2.4,37
90,0,2.6,35
90,0,2.8,34
90,0,3,30
90,0,3.2,28
90,0,3.4,27
90,0,3.6,25
90,0,3.8,23
90,0,4,22
90,0,4.2,21
90,0,4.4,20
90,0,4.6,19
90,0,4.8,18
90,0,5,16
90,0,6,11
