ceil,wall,eff_floor,cavity_ratio,mf
80,70,30,1,1.092
80,70,30,2,1.079
80,70,30,3,1.07
80,70,30,4,1.062
80,70,30,5,1.056
80,70,30,6,1.052
80,70,30,7,1.047
80,70,30,8,1.044
80,70,30,9,1.04
80,70,30,10,1.037
80,50,30,1,1.082
80,50,30,2,1.066
80,50,30,3,1.054
80,50,30,4,1.045
80,50,30,5,1.038
80,50,30,6,1.033
80,50,30,7,1.029
80,50,30,8,1.026
80,50,30,9,1.024
80,50,30,10,1.022
80,30,30,1,1.075
80,30,30,2,1.055
80,30,30,3,1.042
80,30,30,4,1.033
80,30,30,5,1.026
80,30,30,6,1.021
80,30,30,7,1.018
80,30,30,8,1.015
80,30,30,9,1.014
80,30,30,10,1.012
80,10,30,1,1.068
80,10,30,2,1.047
80,10,30,3,1.033
80,10,30,4,1.024
80,10,30,5,1.018
80,10,30,6,1.014
80,10,30,7,1.011
80,10,30,8,1.009
80,10,30,9,1.007
80,10,30,10,1.006
70,70,30,1,1.077
70,70,30,2,1.068
70,70,30,3,1.061
70,70,30,4,1.055
70,70,30,5,1.05
70,70,30,6,1.047
70,70,30,7,1.043
70,70,30,8,1.04
70,70,30,9,1.037
70,70,30,10,1.034
70,50,30,1,1.07
70,50,30,2,1.057
70,50,30,3,1.048
70,50,30,4,1.04
70,50,30,5,1.034
70,50,30,6,1.03
70,50,30,7,1.026
70,50,30,8,1.024
70,50,30,9,1.022
70,50,30,10,1.02
70,30,30,1,1.064
70,30,30,2,1.048
70,30,30,3,1.037
70,30,30,4,1.029
70,30,30,5,1.024
70,30,30,6,1.02
70,30,30,7,1.017
70,30,30,8,1.015
70,30,30,9,1.014
70,30,30,10,1.012
70,10,30,1,1.059
70,10,30,2,1.039
70,10,30,3,1.028
70,10,30,4,1.021
70,10,30,5,1.015
70,10,30,6,1.012
70,10,30,7,1.009
70,10,30,8,1.007
70,10,30,9,1.006
70,10,30,10,1.005
50,50,30,1,1.049
50,50,30,2,1.041
50,50,30,3,1.034
50,50,30,4,1.03
50,50,30,5,1.027
50,50,30,6,1.024
50,50,30,7,1.022
50,50,30,8,1.02
50,50,30,9,1.019
50,50,30,10,1.017
50,30,30,1,1.044
50,30,30,2,1.033
50,30,30,3,1.027
50,30,30,4,1.022
50,30,30,5,1.018
50,30,30,6,1.015
50,30,30,7,1.013
50,30,30,8,1.012
50,30,30,9,1.011
50,30,30,10,1.01
50,10,30,1,1.04
50,10,30,2,1.027
50,10,30,3,1.02
50,10,30,4,1.015
50,10,30,5,1.012
50,10,30,6,1.009
50,10,30,7,1.007
50,10,30,8,1.006
50,10,30,9,1.005
50,10,30,10,1.004
30,50,30,1,1.028
30,50,30,2,1.026
30,50,30,3,1.024
30,50,30,4,1.022
30,50,30,5,1.02
30,50,30,6,1.019
30,50,30,7,1.018
30,50,30,8,1.017
30,50,30,9,1.016
30,50,30,10,1.015
30,30,30,1,1.026
30,30,30,2,1.021
30,30,30,3,1.017
30,30,30,4,1.015
30,30,30,5,1.013
30,30,30,6,1.012
30,30,30,7,1.01
30,30,30,8,1.009
30,30,30,9,1.009
30,30,30,10,1.009
30,10,30,1,1.023
30,10,30,2,1.017
30,10,30,3,1.012
30,10,30,4,1.01
30,10,30,5,1.008
30,10,30,6,1.006
30,10,30,7,1.005
30,10,30,8,1.004
30,10,30,9,1.004
30,10,30,10,1.003
10,50,30,1,1.012
10,50,30,2,1.013
10,50,30,3,1.014
10,50,30,4,1.014
10,50,30,5,1.014
10,50,30,6,1.014
10,50,30,7,1.014
10,50,30,8,1.013
10,50,30,9,1.013
10,50,30,10,1.013
10,30,30,1,1.01
10,30,30,2,1.01
10,30,30,3,1.099
10,30,30,4,1.009
10,30,30,5,1.009
10,30,30,6,1.008
10,30,30,7,1.008
10,30,30,8,1.007
10,30,30,9,1.007
10,30,30,10,1.007
10,10,30,1,1.008
10,10,30,2,1.006
10,10,30,3,1.005
10,10,30,4,1.004
10,10,30,5,1.004
10,10,30,6,1.003
10,10,30,7,1.003
10,10,30,8,1.003
10,10,30,9,1.002
10,10,30,10,1.002
80,70,10,1,0.923
80,70,10,2,0.931
80,70,10,3,0.939
80,70,10,4,0.944
80,70,10,5,0.949
80,70,10,6,0.953
80,70,10,7,0.957
80,70,10,8,0.93
80,70,10,9,0.963
80,70,10,10,0.965
80,50,10,1,0.929
80,50,10,2,0.942
