luminaire_id,description,maint_cat,max_s_mh,percent_lumens_up,percent_lumens_down,comment
1,pendant,V,1.5,35.5,45,
2,conc ring,II,1.5,83,3.5,
3,dome,IV,1.3,0,83.5,
4,square surface drum,V,1.3,18.5,60.5,
5,recessed,IV,0.8,0,100,
6,,IV,0.7,0,85,
7,,IV,0.7,0,43.5,
8,,IV,0.7,0,44.5,
9,,V,1,0,54.5,
10,,V,1.4,0,53.5,
11,,V,1.3,1.5,50.5,
12,,V,1.3,0,66,
13,,V,1.4,0,71.5,
14,,III,0.7,1.5,77,
15,,III,1,1,76,
16,,III,1.5,0.5,77.5,
17,,III,1,6.5,75.5,
18,,III,1.5,12,69,
19,,III,1.3,13,74,
20,,II,1.3,22.5,65,
21,,II,,17,66,1.5/1.3
22,,II,1,23.5,57,
23,,II,,17.5,56.5,1.5/1.1
24,,II,1.1,39,32,
25,,IV,1,6,46,
26,,IV,,0,42.5,1.1/.8
27,,II,1.3,9.5,78,
28,,VI,1.5,66,12,
29,,VI,,33,50,1.4/1.2
30,,V,,11.5,58.5,1.5/1.2
31,,V,1.2,24,50,
32,,V,1.3,8,37.5,
33,,IV,1,0,46,
34,,IV,0.9,0,42.5,
35,,IV,1,0,50,
36,,IV,0.9,0,42,
37,,V,1.2,1,55,
38,fluorescent-2ft-wide-4lamp-dropped-white-diffuser,V,1.2,1,60.5,
39,,V,1.2,0,57.5,
40,fluorescent-2ft-wide-4lamp-flat-prismatic-lens,V,,0,58,1.4/1.2
41,,V,,0,62,1.4/1.2
42,,V,,0,56,1.4/1.2
43,,V,,0,60,1.4/1.2
